employee_id,fullname,years_of_service_months,rating,is_high_performer,performance_group,grade_name,education_name,major_name,position_name,department_name,directorate_name,iq,pauli,gtq,tiki,mbti,disc,GDR,CEX,IDS,QDD,STO,SEA,VCU,LIE,FTC,CSI,Papi_N,Papi_G,Papi_A,Papi_L,Papi_P,Papi_I,Papi_T,Papi_V,Papi_X,Papi_S,Papi_B,Papi_O,Papi_R,Papi_D,Papi_C,Papi_Z,Papi_E,Papi_K,Papi_F,Papi_W
DUP1942,Dewi Fadillah Hidayat,79,5,1,High Performer,IV,S1,Design,Brand Executive,Marketing,Commercial,null,55,null,8,ISFP,CD,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,null,4,6,6,5,1,9,1,3,9,null,3,7,4,1,null,3,3,5,8
DUP2096,Putri Wibowo,49,3,0,Others,III,S2,Engineering,HRBP,Marketing,HR & Corp Affairs,null,27,null,4,ISFJ,SD,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1,2,1,3,4,6,2,6,8,8,6,4,6,3,9,2,4,9,1,3
DUP2722,Dewi Syahputra,33,4,0,Others,IV,S1,Design,Sales Supervisor,Finance,HR & Corp Affairs,124,83,18,2,ISTJ,DI,5.0,3.0,4.0,3.0,,4.0,5.0,5.0,5.0,5.0,8,9,2,3,null,9,7,3,3,1,null,2,6,4,6,3,1,1,4,6
DUP3015,Bayu Kurniawan,79,3,0,Others,III,SMA,Business,Brand Executive,IT,Technology,87,81,22,6,ESFP,CD,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5,8,5,7,8,9,null,null,5,3,4,1,7,4,3,3,9,1,2,3
DUP3452,Fitri Anugrah Subekti,50,3,0,Others,V,D3,Psychology,Finance Officer,IT,Technology,90,60,38,7,ESFJ,ID,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,null,null,7,4,4,2,null,9,6,9,9,null,2,9,1,4,7,1,3,1
DUP4177,Adi Ginting,75,2,0,Others,V,S1,Business,Supply Planner,Marketing,HR & Corp Affairs,null,41,null,8,ENTJ,DS,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,8,4,9,9,3,4,6,3,3,7,7,3,null,6,2,2,1,3,null,1
DUP5237,Fajar Fauziah,8,3,0,Others,IV,D3,Statistics,HRBP,R&D,Technology,121,99,30,10,ESFP,DS,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,3,2,9,8,2,null,6,4,7,4,3,2,5,2,3,9,3,8,2,9
DUP9015,Umar Maulana,50,3,0,Others,IV,S2,Economics,Sales Supervisor,HR,Commercial,134,26,41,8,ENTP,SC,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4,4,6,null,6,9,5,1,8,1,8,4,4,1,6,5,4,7,8,8
DUP9129,Nabila Dharma Salsabila,50,2,0,Others,V,SMA,Design,Supply Planner,Operations,HR & Corp Affairs,93,28,36,2,ESFP,IC,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2,1,9,3,3,5,2,9,6,5,null,4,6,9,4,3,5,9,1,6
DUP9801,Ayu Kusuma Santoso,7,5,1,High Performer,III,S1,Engineering,Finance Officer,IT,Technology,131,37,28,7,ISTJ,SC,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2,9,1,null,5,6,9,9,9,3,1,7,6,7,4,1,8,5,2,null
